q,o,a,difficulty
Surah Al-Ma'un artinya...,Barang-barang yang berguna\Gajah\Waktu Subuh\Nikmat yang banyak,Barang-barang yang berguna,1
Surah Al-Ma'un terdiri dari ... ayat.,5\6\7\8,7,1
Surah Al-Fil artinya...,Gajah\Semut\Burung\Pertolongan,Gajah,1
Pasukan gajah dihancurkan oleh burung...,Elang\Pipit\Ababil\Hud-hud,Ababil,1
Al-Qawiy artinya Allah Maha...,Kuat\Mandiri\Menghidupkan\Mematikan,Kuat,1
Al-Muhyi artinya Allah Maha...,Kuat\Mandiri\Menghidupkan\Mematikan,Menghidupkan,1
Al-Ba'is artinya Allah Maha...,Kuat\Mandiri\Menghidupkan\Membangkitkan,Membangkitkan,1
Jujur artinya berkata...,Apa adanya\Yang disukai orang\Banyak\Sedikit,Apa adanya,1
Amanah artinya...,Jujur\Dapat dipercaya\Santun\Hormat,Dapat dipercaya,1
Berbicara lembut kepada orang tua adalah contoh...,Jujur\Amanah\Hormat kepada orang tua\Santun,Hormat kepada orang tua,1
Santun artinya...,Kasar\Keras\Jujur\Halus budi bahasa (Sopan),Halus budi bahasa (Sopan),1
Menyapa guru ketika bertemu di jalan adalah contoh...,Jujur\Santun dan hormat\Amanah\Tidak peduli,Santun dan hormat,1
Sikap kita jika berbeda pendapat dengan teman adalah...,Memaksakan pendapat\Mengejeknya\Marah\Saling menghargai,Saling menghargai,1
Nabi Daud a.s. menerima kitab suci...,Taurat\Zabur\Injil\Al-Qur'an,Zabur,1
Nabi Sulaiman a.s. adalah putra dari...,Nabi Musa a.s.\Nabi Daud a.s.\Nabi Ibrahim a.s.\Nabi Isa a.s.,Nabi Daud a.s.,1
Ratu yang menyembah matahari dan akhirnya beriman kepada Nabi Sulaiman bernama...,Ratu Zubaidah\Ratu Balqis\Ratu Cleopatra\Ratu Asiyah,Ratu Balqis,2
