q,o,a,difficulty
Q.S. Ali Imran 190-191 membahas tentang...,Hukum perang\Berpikir kritis\Pernikahan\Waris\Zakat,Berpikir kritis,1
Objek tafakur menurut ayat 190 adalah...,Zat Allah\Penciptaan langit bumi\Hukum fiqih\Sejarah nabi\Kehidupan jin,Penciptaan langit bumi,2
Orang yang cerdas (berakal) disebut...,Ulul Azmi\Ulul Albab\Ahlul Kitab\Wali Allah\Mujtahid,Ulul Albab,1
Ciri Ulul Albab dalam ayat 191 adalah...,Selalu puasa\Selalu perang\Mengingat Allah\Banyak sedekah\Menyendiri,Mengingat Allah,1
Posisi berzikir yang disebutkan ayat 191...,Berdiri duduk berbaring\Rukuk dan sujud\Saat salat saja\Di masjid saja\Saat susah saja,Berdiri duduk berbaring,2
Subhanaka artinya...,Maha Besar Engkau\Maha Suci Engkau\Segala Puji\Maha Pengampun\Maha Melihat,Maha Suci Engkau,2
Penciptaan alam semesta tidak ada yang...,Bagus\Sia-sia\Teratur\Indah\Besar,Sia-sia,1
Sikap terhadap IPTEK dalam Islam...,Menolak total\Menerima tanpa saring\Terbuka dan selektif\Masa bodoh\Melarang,Terbuka dan selektif,2
"Hukum tajwid ""Inna fii khalqi""...",Idgham Bighunnah\Ghunnah\Ikhfa\Izhar\Qalqalah,Ghunnah,3
Berpikir kritis akan menjauhkan diri dari...,Kebenaran\Kesesatan\Ilmu\Pahala\Surga,Kesesatan,1
Syu'abul Iman berkaitan dengan lisan adalah...,Menyingkirkan duri\Menjaga lisan\Salat khusyuk\Puasa sunah\Membayar zakat,Menjaga lisan,1
Hukum memenuhi janji adalah...,Sunah\Makruh\Wajib\Mubah\Haram,Wajib,1
"Lafal ""Insya Allah"" diucapkan ketika...",Berjanji\Bersin\Lupa\Kaget\Marah,Berjanji,1
Mensyukuri nikmat dengan lisan mengucapkan...,Tasbih\Tahmid (Alhamdulillah)\Takbir\Tahlil\Istighfar,Tahmid (Alhamdulillah),1
Bahaya tidak menjaga lisan adalah...,Banyak teman\Hati tenang\Menimbulkan fitnah\Dapat pahala\Hidup damai,Menimbulkan fitnah,2
Ghibah diibaratkan memakan...,Daging babi\Bangkai saudara sendiri\Buah busuk\Makanan haram\Harta anak yatim,Bangkai saudara sendiri,2
Menutup aib orang lain hukumnya...,Wajib\Sunah\Haram\Mubah\Makruh,Wajib,1
Aib yang boleh dibuka adalah...,Aib fisik\Kejahatan kriminal (hukum)\Aib masa lalu\Aib keluarga\Aib kemiskinan,Kejahatan kriminal (hukum),3
Janji adalah utang yang harus...,Dibiarkan\Dibayar/Ditepati\Dilupakan\Dicatat\Dihapus,Dibayar/Ditepati,1
Bersyukur dengan perbuatan contohnya...,Mengucap Alhamdulillah\Membantu orang lain\Tidur seharian\Pamer harta\Menabung uang,Membantu orang lain,2
Istilah Islam untuk perkelahian pelajar...,Jihad\Tawuran\Syaja'ah\Ikhtilaf\Ta'awun,Tawuran,1
Dampak fisik dari tawuran adalah...,Masuk penjara\Luka dan kematian\Dikeluarkan sekolah\Nama baik rusak\Orang tua malu,Luka dan kematian,1
Faktor internal penyebab tawuran...,Lingkungan buruk\Kurang kontrol diri\Teman nakal\Sekolah ketat\Hukum lemah,Kurang kontrol diri,2
Minuman keras (Miras) dalam Islam disebut...,Khamr\Maisir\Anshab\Azlam\Rijs,Khamr,2
Hukum mengonsumsi Khamr...,Makruh\Mubah\Haram\Sunah\Wajib,Haram,1
Q.S. Al-Maidah ayat 90 melarang...,Zina\Miras dan Judi\Riba\Mencuri\Membunuh,Miras dan Judi,2
"Khamr disebut ""Ummul Khaba'its"" artinya...",Induk kejahatan\Obat penyakit\Minuman surga\Penenang jiwa\Simbol kekayaan,Induk kejahatan,3
Hukum Narkoba disamakan dengan...,Air\Makanan\Khamr\Obat\Racun,Khamr,2
Dampak psikotropika bagi syaraf...,Meningkatkan ingatan\Merusak otak\Menyehatkan badan\Menguatkan otot\Mempertajam mata,Merusak otak,1
Cara mencegah penyalahgunaan Narkoba...,Mencoba sedikit\Bergaul bebas\Mendekatkan diri pada Allah\Menyendiri\Ikut tren,Mendekatkan diri pada Allah,1
Dakwah secara bahasa artinya...,Mengajak/Memanggil\Memukul\Mengusir\Menyuruh\Melarang,Mengajak/Memanggil,1
Orang yang menyampaikan khutbah disebut...,Mubaligh\Dai\Khatib\Imam\Muazin,Khatib,1
Khutbah Jumat dilaksanakan pada waktu...,Subuh\Zuhur\Asar\Magrib\Isya,Zuhur,2
Syarat khatib Jumat harus...,Wanita\Anak kecil\Laki-laki dewasa\Musafir\Mualaf baru,Laki-laki dewasa,2
Salah satu rukun khutbah adalah...,Membaca hamdalah\Memakai jubah\Memegang tongkat\Suara keras\Berbahasa Arab,Membaca hamdalah,2
Wasiat takwa disampaikan saat...,Khutbah pertama & kedua\Awal salat\Setelah salat\Sebelum azan\Saat iqamah,Khutbah pertama & kedua,3
Tablig artinya...,Menyimpan\Menyampaikan\Mempelajari\Menulis\Membaca,Menyampaikan,1
