q,o,a,difficulty
Q.S. Al-Mujadilah ayat 11 membahas tentang...,Keutamaan ilmu\Perintah zakat\Larangan zina\Hukum qisas\Kewajiban haji,Keutamaan ilmu,1
Yarfa'illah dalam ayat 11 artinya...,Allah meninggikan\Allah melihat\Allah mendengar\Allah menciptakan\Allah mematikan,Allah meninggikan,2
Hukum menuntut ilmu bagi muslim...,Fardu 'Ain\Fardu Kifayah\Sunah Muakkad\Mubah\Makruh,Fardu 'Ain,1
Q.S. Az-Zumar ayat 9 membedakan...,Orang berilmu dan tidak\Kaya dan miskin\Pria dan wanita\Langit dan bumi\Siang dan malam,Orang berilmu dan tidak,2
Orang yang berakal sehat disebut...,Ulil Amri\Ulul Albab\Ulil Absor\Ahlul Kitab\Ahlul Halli,Ulul Albab,1
"Lafal ""Allazina amanu"" artinya...",Orang yang beriman\Orang yang salat\Orang yang puasa\Orang yang ingkar\Orang yang sabar,Orang yang beriman,1
Iman kepada Hari Akhir rukun iman...,Pertama\Kedua\Ketiga\Keempat\Kelima,Kelima,1
Hari berakhirnya seluruh kehidupan disebut...,Yaumul Akhir\Yaumul Awal\Yaumul Milad\Yaumul Bid'ah\Yaumul Jumuah,Yaumul Akhir,1
Kiamat kecil disebut juga...,Kiamat Sugra\Kiamat Kubra\Kiamat Wustha\Kiamat Akbar\Kiamat Besar,Kiamat Sugra,1
Contoh kiamat sugra adalah...,Matahari terbit barat\Kematian seseorang\Bumi hancur\Langit terbelah\Gunung terbang,Kematian seseorang,1
Alam pembatas dunia dan akhirat...,Alam Rahim\Alam Barzah\Alam Mahsyar\Alam Arwah\Alam Gaib,Alam Barzah,2
Hari dibangkitkan dari kubur...,Yaumul Ba'as\Yaumul Mahsyar\Yaumul Hisab\Yaumul Mizan\Yaumul Jaza,Yaumul Ba'as,2
Tempat berkumpulnya manusia setelah bangkit...,Padang Arafah\Padang Mahsyar\Surga Adn\Neraka Jahim\Bukit Tursina,Padang Mahsyar,1
Hari perhitungan amal perbuatan...,Yaumul Hisab\Yaumul Mizan\Yaumul Ba'as\Yaumul Jaza\Yaumul Sa'ah,Yaumul Hisab,2
Hari penimbangan amal manusia...,Yaumul Mizan\Yaumul Hisab\Yaumul Ba'as\Yaumul Mahsyar\Yaumul Tanad,Yaumul Mizan,2
Jembatan penentu masuk surga/neraka...,Jembatan Siratal Mustaqim\Jembatan Suramadu\Jembatan Ampera\Jembatan Barzah\Jembatan Mahsyar,Jembatan Siratal Mustaqim,1
Balasan bagi orang beriman...,Surga\Neraka\Padang Mahsyar\Dunia\Alam Barzah,Surga,1
Tanda kiamat kubra adalah...,Banyak gempa\Matahari terbit barat\Banyak pembunuhan\Minuman keras merajalela\Ilmu agama hilang,Matahari terbit barat,2
Malaikat peniup sangkakala adalah...,Jibril\Mikail\Israfil\Izrail\Raqib,Israfil,1
Sikap jujur akan membawa...,Ketenangan hati\Kegelisahan\Permusuhan\Kerugian\Bencana,Ketenangan hati,1
Berkata sesuai kenyataan disebut...,Jujur\Dusta\Ghibah\Namimah\Fitnah,Jujur,1
Menepati janji hukumnya...,Wajib\Sunah\Mubah\Makruh\Haram,Wajib,1
Sopan santun dalam ucapan disebut...,Tata krama\Sombong\Angkuh\Kasar\Keras,Tata krama,1
Anak saleh selalu mendoakan...,Orang tua\Diri sendiri\Teman\Guru\Tetangga,Orang tua,1
Zakat menurut bahasa artinya...,Kotor\Bersih/Suci\Banyak\Sedikit\Harta,Bersih/Suci,1
Zakat terbagi menjadi...,Dua macam\Tiga macam\Empat macam\Lima macam\Enam macam,Dua macam,1
Zakat jiwa disebut juga...,Zakat Mal\Zakat Fitrah\Zakat Profesi\Zakat Emas\Zakat Pertanian,Zakat Fitrah,1
Besaran Zakat Fitrah beras...,2 liter\2.5 kg\3 kg\5 kg\10 kg,2.5 kg,2
Waktu utama bayar Zakat Fitrah...,Awal Ramadan\Pertengahan Ramadan\Akhir Ramadan\Setelah Idulfitri\Bulan Syawal,Akhir Ramadan,2
Orang yang berhak menerima zakat...,Muzakki\Mustahik\Amil\Munfiq\Muhsin,Mustahik,1
Jumlah golongan penerima zakat...,5 golongan\6 golongan\7 golongan\8 golongan\9 golongan,8 golongan,2
Golongan yang banyak utang disebut...,Fakir\Miskin\Garim\Riqab\Ibnu Sabil,Garim,2
Panitia pengelola zakat disebut...,Amil\Mualaf\Fakir\Miskin\Fisabilillah,Amil,1
Zakat Mal adalah zakat...,Jiwa\Harta\Badan\Keluarga\Makanan,Harta,1
Batas minimal harta wajib zakat...,Nishab\Haul\Kadar\Ukuran\Timbangan,Nishab,2
Syarat harta tersimpan satu tahun...,Nishab\Haul\Milik Penuh\Halal\Berkembang,Haul,2
Ibadah menyembelih hewan tanggal 10-13 Zulhijah...,Aqiqah\Kurban\Sedekah\Hadiah\Hibah,Kurban,1
Hukum berkurban adalah...,Wajib Ain\Sunah Muakkad\Fardu Kifayah\Mubah\Makruh,Sunah Muakkad,2
Hewan yang sah untuk kurban...,Ayam\Kambing\Kuda\Kelinci\Rusa,Kambing,1
Umur minimal kambing kurban...,6 bulan\1 tahun\2 tahun\3 tahun\5 tahun,1 tahun,3
Kurban sapi bisa untuk...,1 orang\3 orang\5 orang\7 orang\10 orang,7 orang,2
Aqiqah dilaksanakan sebagai rasa...,Sakit\Sedih\Syukur kelahiran anak\Syukur harta\Syukur jabatan,Syukur kelahiran anak,1
Waktu terbaik aqiqah hari ke-...,3\7\14\21\40,7,2
Jumlah kambing aqiqah bayi laki-laki...,1 ekor\2 ekor\3 ekor\4 ekor\5 ekor,2 ekor,2
Daging aqiqah sebaiknya dibagikan...,Mentah\Matang/Dimasak\Setengah matang\Hidup\Dijual,Matang/Dimasak,2
Islam masuk Nusantara melalui...,Perang\Perdagangan dan Dakwah\Penjajahan\Paksaan\Tipuan,Perdagangan dan Dakwah,1
Teori Islam dari India disebut...,Teori Makkah\Teori Gujarat\Teori Persia\Teori Cina\Teori Mesir,Teori Gujarat,2
Teori Islam langsung dari Arab...,Teori Gujarat\Teori Makkah\Teori Persia\Teori Cina\Teori Turki,Teori Makkah,2
