q,o,a,difficulty
Pedoman hidup utama umat Islam...,Al-Qur'an\Hadis\Ijtihad\Qiyas,Al-Qur'an,1
Surah An-Nisa ayat 59 memerintahkan...,Taat aturan\Bayar zakat\Pergi haji\Puasa Ramadan,Taat aturan,2
Hukum bacaan Alif Lam Syamsiyah...,Dibaca samar\Dibaca jelas\Dibaca dengung\Lebur ke huruf,Lebur ke huruf,2
Hukum bacaan Alif Lam Qamariyah...,Dibaca jelas\Dibaca samar\Dibaca memantul\Dibaca panjang,Dibaca jelas,2
Al-Qur'an diturunkan secara...,Sekaligus\Berangsur-angsur\Satu jilid\Dua tahap,Berangsur-angsur,1
Malaikat pembawa wahyu adalah...,Jibril\Mikail\Israfil\Izrail,Jibril,1
Perkataan dan perbuatan Nabi disebut...,Al-Qur'an\Hadis\Ijtihad\Ijma,Hadis,1
Fungsi hadis terhadap Al-Qur'an...,Mengganti ayat\Menjelaskan ayat\Menghapus ayat\Menambah ayat,Menjelaskan ayat,2
Pencipta alam semesta disebut...,Makhluk\Khaliq\Rasul\Malaikat,Khaliq,1
Arti Asmaul Husna Al-Alim...,Maha Mendengar\Maha Melihat\Maha Mengetahui\Maha Teliti,Maha Mengetahui,1
Arti Asmaul Husna Al-Khabir...,Maha Teliti\Maha Besar\Maha Kuat\Maha Esa,Maha Teliti,1
Arti Asmaul Husna As-Sami'...,Maha Melihat\Maha Mendengar\Maha Hidup\Maha Kekal,Maha Mendengar,1
Arti Asmaul Husna Al-Basir...,Maha Melihat\Maha Bijaksana\Maha Adil\Maha Kaya,Maha Melihat,1
Allah mendengar suara hati...,Sangat jelas\Samar-samar\Tidak terdengar\Kurang jelas,Sangat jelas,2
Belajar dengan sungguh-sungguh meneladani...,Al-Khabir\Al-Alim\As-Sami'\Al-Basir,Al-Alim,3
Teliti saat mengerjakan ujian meneladani...,Al-Basir\Al-Khabir\Al-Alim\As-Sami',Al-Khabir,3
Mendengarkan nasihat guru meneladani...,Al-Basir\As-Sami'\Al-Khabir\Al-Alim,As-Sami',3
Memperhatikan alam semesta meneladani...,Al-Alim\Al-Basir\As-Sami'\Al-Khabir,Al-Basir,3
Salat mencegah perbuatan...,Baik dan benar\Keji dan mungkar\Sia-sia\Ragu-ragu,Keji dan mungkar,1
Salat lima waktu hukumnya...,Sunah muakkad\Fardu ain\Fardu kifayah\Mubah,Fardu ain,1
Arti kata Zikir adalah...,Mengingat Allah\Meminta tolong\Bersujud syukur\Membaca buku,Mengingat Allah,1
Zikir membuat hati menjadi...,Gelisah\Takut\Tenang\Marah,Tenang,1
"Bacaan ""Subhanallah"" disebut bacaan...",Tahmid\Tasbih\Takbir\Tahlil,Tasbih,2
"Bacaan ""Alhamdulillah"" disebut bacaan...",Tasbih\Tahmid\Tahlil\Istighfar,Tahmid,2
