q,o,a,difficulty
Nabi dan Rasul adalah utusan...,Malaikat\Manusia\Allah\Jin,Allah,1
Nabi terakhir adalah...,Nabi Isa AS\Nabi Muhammad SAW\Nabi Adam AS\Nabi Musa AS,Nabi Muhammad SAW,1
Jumlah nabi dan rasul yang wajib diketahui ada...,5\10\25\99,25,1
Surah An-Nas artinya...,Waktu Subuh\Manusia\Perlindungan\Keesaan,Manusia,1
Jumlah ayat Surah An-Nas ada...,4 ayat\5 ayat\6 ayat\7 ayat,6 ayat,2
Kita memohon perlindungan kepada...,Nabi\Malaikat\Allah\Manusia,Allah,1
Asmaul Husna artinya...,Nama-nama Nabi\Nama-nama Malaikat\Nama-nama Kitab\Nama-nama baik Allah,Nama-nama baik Allah,1
Al-Quddus artinya Allah Maha...,Suci\Raja\Pengasih\Penyayang,Suci,2
Menjaga kebersihan adalah cara meneladani...,Al-Malik\As-Salam\Al-Quddus\Ar-Rahim,Al-Quddus,2
Anak yang saleh selalu berkata...,Bohong\Jujur\Kasar\Culas,Jujur,1
Perilaku terpuji artinya perilaku yang...,Buruk\Baik\Dibenci\Merugikan,Baik,1
Sebelum salat kita harus...,Makan\Tidur\Berwudu\Bermain,Berwudu,1
Wudu adalah cara bersuci dari hadas...,Besar\Kecil\Sedang\Ringan,Kecil,2
Rukun wudu yang pertama adalah...,Niat\Membasuh tangan\Membasuh muka\Tertib,Niat,1
Nabi Nuh a.s. adalah utusan...,Allah\Malaikat\Jin\Manusia,Allah,1
Kaum Nabi Nuh a.s. yang durhaka ditimpa azab berupa...,Gempa bumi\Angin topan\Banjir bandang\Hujan batu,Banjir bandang,1
Allah memerintahkan Nabi Nuh a.s. untuk membuat...,Rumah\Kapal (Bahtera)\Patung\Masjid,Kapal (Bahtera),2
Istri Nabi Nuh a.s. yang durhaka bernama...,Siti Hajar\Walihah\Siti Sarah\Aminah,Walihah,3
Surah An-Nas dibaca untuk memohon perlindungan dari...,Hujan\Lapar\Kejahatan\Kantuk,Kejahatan,1
Berbohong adalah perbuatan...,Terpuji\Tercela\Biasa saja\Hebat,Tercela,1
Jika ada teman yang sakit\ kita harus...,Menertawakannya\Menjenguknya\Membiarkannya\Menjauhinya,Menjenguknya,1
Memberi makan kucing adalah contoh kasih sayang kepada...,Tumbuhan\Hewan\Diri sendiri\Teman,Hewan,1
Menyiram tanaman adalah contoh kasih sayang kepada...,Hewan\Teman\Orang tua\Tumbuhan,Tumbuhan,1
Ar-Rahman artinya Allah mengasihi...,Orang beriman saja\Orang Islam saja\Semua makhluk\Para nabi saja,Semua makhluk,2
Iman artinya...,Rajin\Jujur\Percaya\Pintar,Percaya,2
Percaya kepada nabi dan rasul adalah rukun iman ke...,Satu\Dua\Tiga\Empat,Empat,2
Percaya kepada kitab-kitab Allah adalah rukun iman ke...,Satu\Dua\Tiga\Empat,Tiga,2
Kitab suci Al-Qur'an diturunkan kepada Nabi...,Nabi Isa AS\Nabi Musa AS\Nabi Muhammad SAW\Nabi Daud AS,Nabi Muhammad SAW,1
"Arti dari ""Alhamdulillah"" adalah...,Dengan nama Allah\Segala puji bagi Allah\Allah Maha Besar\Tiada Tuhan selain Allah,Segala puji bagi Allah,2"
Kita membaca Hamdalah sebagai tanda...,Syukur\Maaf\Janji\Perintah,Syukur,2
Sebelum memulai belajar\ sebaiknya kita membaca...,Hamdalah\Basmalah\Subhanallah\Allahu Akbar,Basmalah,1
Rukun Islam yang ketiga adalah...,Salat\Puasa\Zakat\Haji,Zakat,2
Berpuasa di bulan Ramadan adalah rukun Islam ke...,Dua\Tiga\Empat\Lima,Empat,2
